grupo,discrepancia_medicamentosa
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Nao
Intervencao_farmaceutica,Sim
Intervencao_farmaceutica,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Nao
Cuidado_usual,Sim
Cuidado_usual,Sim
Cuidado_usual,Sim
Cuidado_usual,Nao
Cuidado_usual,Nao
