armazenamento,instabilidade_fisica
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Nao
Refrigerado,Sim
Refrigerado,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Sim
Temperatura_ambiente,Sim
Temperatura_ambiente,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Sim
Temperatura_ambiente,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Nao
Temperatura_ambiente,Sim
Temperatura_ambiente,Sim
Temperatura_ambiente,Sim
