participante,compreensao_antes,compreensao_depois
1,Incorreto,Correto
2,Incorreto,Correto
3,Incorreto,Correto
4,Incorreto,Correto
5,Incorreto,Incorreto
6,Correto,Incorreto
7,Correto,Correto
8,Correto,Correto
9,Incorreto,Correto
10,Correto,Correto
11,Correto,Incorreto
12,Incorreto,Incorreto
13,Incorreto,Incorreto
14,Correto,Correto
15,Correto,Correto
16,Incorreto,Correto
17,Incorreto,Correto
18,Incorreto,Incorreto
19,Incorreto,Correto
20,Incorreto,Incorreto
21,Correto,Correto
22,Correto,Correto
23,Correto,Incorreto
24,Incorreto,Correto
25,Incorreto,Correto
26,Incorreto,Correto
27,Incorreto,Incorreto
28,Correto,Incorreto
29,Correto,Correto
30,Incorreto,Correto
31,Incorreto,Incorreto
32,Correto,Correto
33,Correto,Correto
34,Correto,Correto
35,Incorreto,Incorreto
36,Incorreto,Correto
37,Incorreto,Correto
38,Correto,Correto
39,Correto,Incorreto
40,Incorreto,Incorreto
41,Correto,Correto
42,Incorreto,Correto
43,Incorreto,Incorreto
44,Correto,Correto
45,Incorreto,Incorreto
46,Incorreto,Incorreto
47,Correto,Correto
48,Incorreto,Correto
49,Correto,Correto
50,Correto,Correto
51,Correto,Incorreto
52,Incorreto,Incorreto
53,Correto,Correto
54,Correto,Incorreto
55,Incorreto,Correto
56,Correto,Correto
57,Incorreto,Correto
58,Correto,Correto
59,Incorreto,Incorreto
60,Correto,Correto
61,Incorreto,Correto
62,Incorreto,Correto
63,Correto,Correto
64,Correto,Correto
65,Correto,Correto
66,Correto,Correto
67,Correto,Correto
68,Incorreto,Correto
69,Incorreto,Correto
70,Correto,Correto
71,Correto,Correto
72,Incorreto,Incorreto
73,Incorreto,Incorreto
74,Incorreto,Correto
75,Incorreto,Incorreto
76,Correto,Incorreto
77,Correto,Correto
78,Incorreto,Correto
79,Incorreto,Incorreto
80,Correto,Correto
