Comprimido,Formulação,Eficiencia_dissolucao_pct
1,Referência,86.37
2,Referência,83.69
3,Referência,85.74
4,Referência,89.02
5,Referência,83.63
6,Referência,80.25
7,Referência,84.06
8,Referência,84.97
9,Referência,78.16
10,Referência,83.46
1,Genérico A,79.91
2,Genérico A,78.81
3,Genérico A,79.12
4,Genérico A,77.5
5,Genérico A,78.04
6,Genérico A,78.94
7,Genérico A,74.29
8,Genérico A,81.46
9,Genérico A,77.4
10,Genérico A,75.36
1,Genérico B,64.98
2,Genérico B,73.03
3,Genérico B,69.37
4,Genérico B,62.77
5,Genérico B,66.11
6,Genérico B,63.54
7,Genérico B,64.59
8,Genérico B,69.49
9,Genérico B,71.11
10,Genérico B,71.51
1,Genérico C,87.29
2,Genérico C,87.18
3,Genérico C,84.41
4,Genérico C,90.15
5,Genérico C,83.0
6,Genérico C,88.24
7,Genérico C,89.42
8,Genérico C,82.22
9,Genérico C,93.2
10,Genérico C,82.24
