Formulacao,Comprimido,Tempo_desintegracao_s
Formulação A,1,44.88
Formulação A,2,43.11
Formulação A,3,44.46
Formulação A,4,46.62
Formulação A,5,43.07
Formulação A,6,40.85
Formulação A,7,43.36
Formulação A,8,43.96
Formulação A,9,39.47
Formulação A,10,42.96
Formulação B,1,48.91
Formulação B,2,47.81
Formulação B,3,48.12
Formulação B,4,46.5
Formulação B,5,47.04
Formulação B,6,47.94
Formulação B,7,43.29
Formulação B,8,50.46
Formulação B,9,46.4
Formulação B,10,44.36
Formulação C,1,47.6
Formulação C,2,61.99
Formulação C,3,55.44
Formulação C,4,43.66
Formulação C,5,49.62
Formulação C,6,45.04
Formulação C,7,46.91
Formulação C,8,55.66
Formulação C,9,58.56
Formulação C,10,59.27
Formulação D,1,55.09
Formulação D,2,54.81
Formulação D,3,47.37
Formulação D,4,62.77
Formulação D,5,43.58
Formulação D,6,57.65
Formulação D,7,60.81
Formulação D,8,41.5
Formulação D,9,70.94
Formulação D,10,41.55
