"id","formulacao","segmento","permeabilidade"
1,"Controle","Duodeno",2.33
2,"Controle","Duodeno",2.72
3,"Controle","Duodeno",4.87
4,"Controle","Duodeno",3.09
5,"Controle","Duodeno",3.16
6,"Controle","Duodeno",4.09
7,"Controle","Duodeno",3.55
8,"Controle","Duodeno",1.49
9,"Controle","Íleo",2.31
10,"Controle","Íleo",3.45
11,"Controle","Íleo",4.97
12,"Controle","Íleo",3.93
13,"Controle","Íleo",3.98
14,"Controle","Íleo",3.63
15,"Controle","Íleo",4.09
16,"Controle","Íleo",4.09
17,"Com Promotor","Duodeno",7.80
18,"Com Promotor","Duodeno",9.56
19,"Com Promotor","Duodeno",8.04
20,"Com Promotor","Duodeno",6.63
21,"Com Promotor","Duodeno",5.92
22,"Com Promotor","Duodeno",6.94
23,"Com Promotor","Duodeno",6.03
24,"Com Promotor","Duodeno",6.33
25,"Com Promotor","Íleo",3.15
26,"Com Promotor","Íleo",2.11
27,"Com Promotor","Íleo",4.04
28,"Com Promotor","Íleo",3.93
29,"Com Promotor","Íleo",3.72
30,"Com Promotor","Íleo",5.37
31,"Com Promotor","Íleo",4.36
32,"Com Promotor","Íleo",4.49
