grupo,tempo_h
Tratamento_A,17.81
Tratamento_A,21.8
Tratamento_A,22.59
Tratamento_A,20.43
Tratamento_A,17.95
Tratamento_A,21.56
Tratamento_A,18.36
Tratamento_A,16.78
Tratamento_A,22.04
Tratamento_A,19.01
Tratamento_B,30.44
Tratamento_B,27.18
Tratamento_B,31.64
Tratamento_B,30.34
Tratamento_B,29.9
Tratamento_B,28.37
Tratamento_B,23.76
Tratamento_B,34.82
Tratamento_B,37.51
Tratamento_B,26.07
Tratamento_C,38.19
Tratamento_C,37.36
Tratamento_C,38.5
Tratamento_C,23.85
Tratamento_C,43.14
Tratamento_C,34.34
Tratamento_C,57.65
Tratamento_C,55.76
Tratamento_C,33.25
Tratamento_C,35.04
