grupo,percentual_liberado
Sistema_A,8.44
Sistema_A,17.81
Sistema_A,3.89
Sistema_A,11.84
Sistema_A,12.3
Sistema_A,6.73
Sistema_A,6.68
Sistema_A,10.58
Sistema_A,9.65
Sistema_A,4.78
Sistema_A,7.66
Sistema_A,8.25
Sistema_B,19.23
Sistema_B,7.14
Sistema_B,10.5
Sistema_B,14.66
Sistema_B,11.95
Sistema_B,18.24
Sistema_B,7.79
Sistema_B,11.67
Sistema_B,9.4
Sistema_B,9.82
Sistema_B,11.75
Sistema_B,12.02
Sistema_C,12.39
Sistema_C,21.36
Sistema_C,13.77
Sistema_C,25.64
Sistema_C,13.84
Sistema_C,20.12
Sistema_C,17.09
Sistema_C,34.15
Sistema_C,25.8
Sistema_C,9.72
Sistema_C,14.68
Sistema_C,6.05
