"Dose","Temperatura","Umidade","Taxa_Dissolucao"
"Baixa","20 °C","40%",48.6
"Baixa","20 °C","75%",44.42
"Baixa","20 °C","40%",53.9
"Baixa","20 °C","75%",45.18
"Baixa","20 °C","40%",50.32
"Baixa","20 °C","75%",49.29
"Baixa","20 °C","40%",51.15
"Baixa","20 °C","75%",41.84
"Baixa","30 °C","40%",40.28
"Baixa","30 °C","75%",35.89
"Baixa","30 °C","40%",45.06
"Baixa","30 °C","75%",37.9
"Baixa","30 °C","40%",43
"Baixa","30 °C","75%",37.28
"Baixa","30 °C","40%",40.61
"Baixa","30 °C","75%",41.47
"Baixa","40 °C","40%",31.24
"Baixa","40 °C","75%",20.08
"Baixa","40 °C","40%",31.75
"Baixa","40 °C","75%",23.82
"Baixa","40 °C","40%",27.33
"Baixa","40 °C","75%",24.46
"Baixa","40 °C","40%",27.43
"Baixa","40 °C","75%",23.18
"Alta","20 °C","40%",63.44
"Alta","20 °C","75%",55.78
"Alta","20 °C","40%",67.09
"Alta","20 °C","75%",60.38
"Alta","20 °C","40%",62.15
"Alta","20 °C","75%",63.13
"Alta","20 °C","40%",66.07
"Alta","20 °C","75%",59.26
"Alta","30 °C","40%",59.24
"Alta","30 °C","75%",54.2
"Alta","30 °C","40%",59.05
"Alta","30 °C","75%",53.72
"Alta","30 °C","40%",58.38
"Alta","30 °C","75%",51.85
"Alta","30 °C","40%",56.24
"Alta","30 °C","75%",51.05
"Alta","40 °C","40%",31.26
"Alta","40 °C","75%",27.48
"Alta","40 °C","40%",29.84
"Alta","40 °C","75%",33.42
"Alta","40 °C","40%",36.02
"Alta","40 °C","75%",25.19
"Alta","40 °C","40%",31.99
"Alta","40 °C","75%",26.83
