Sistema,Amostra,Acido_folico_liberado_pct
Ácido fólico cristalino,1,61.74
Ácido fólico cristalino,2,81.51
Ácido fólico cristalino,3,61.3
Ácido fólico cristalino,4,87.92
Ácido fólico cristalino,5,55.76
Ácido fólico cristalino,6,55.43
Ácido fólico cristalino,7,55.16
Ácido fólico cristalino,8,56.14
Ácido fólico cristalino,9,65.82
Ácido fólico cristalino,10,82.25
Ácido fólico cristalino,11,81.76
Ácido fólico cristalino,12,55.82
ZnAl-LDH-ácido fólico,1,99.5
ZnAl-LDH-ácido fólico,2,79.61
ZnAl-LDH-ácido fólico,3,83.77
ZnAl-LDH-ácido fólico,4,99.5
ZnAl-LDH-ácido fólico,5,84.64
ZnAl-LDH-ácido fólico,6,90.6
ZnAl-LDH-ácido fólico,7,99.5
ZnAl-LDH-ácido fólico,8,79.01
ZnAl-LDH-ácido fólico,9,99.5
ZnAl-LDH-ácido fólico,10,78.82
ZnAl-LDH-ácido fólico,11,88.22
ZnAl-LDH-ácido fólico,12,90.22
MgAl-LDH-ácido fólico,1,66.34
MgAl-LDH-ácido fólico,2,68.98
MgAl-LDH-ácido fólico,3,72.87
MgAl-LDH-ácido fólico,4,71.32
MgAl-LDH-ácido fólico,5,77.83
MgAl-LDH-ácido fólico,6,70.38
MgAl-LDH-ácido fólico,7,76.35
MgAl-LDH-ácido fólico,8,76.32
MgAl-LDH-ácido fólico,9,64.5
MgAl-LDH-ácido fólico,10,68.32
MgAl-LDH-ácido fólico,11,71.38
MgAl-LDH-ácido fólico,12,75.28
