dose,temperatura_C,replicacao,resposta
Baixa,20,1,63.77
Baixa,20,2,73.11
Baixa,20,3,70.88
Baixa,20,4,61.96
Baixa,20,5,70.43
Baixa,20,6,68.16
Baixa,20,7,75.34
Baixa,20,8,72.73
Baixa,30,1,76.62
Baixa,30,2,81.83
Baixa,30,3,82.54
Baixa,30,4,89.13
Baixa,30,5,73.38
Baixa,30,6,73.03
Baixa,30,7,75.08
Baixa,30,8,74.66
Baixa,40,1,86.43
Baixa,40,2,87.86
Baixa,40,3,86.04
Baixa,40,4,78.08
Baixa,40,5,82.11
Baixa,40,6,85.92
Baixa,40,7,85.41
Baixa,40,8,83.55
Alta,20,1,85.34
Alta,20,2,83.78
Alta,20,3,81.08
Alta,20,4,82.76
Alta,20,5,80.17
Alta,20,6,82.85
Alta,20,7,83.62
Alta,20,8,75.7
Alta,30,1,92.54
Alta,30,2,93.2
Alta,30,3,91.62
Alta,30,4,93.55
Alta,30,5,97.65
Alta,30,6,98.36
Alta,30,7,90.28
Alta,30,8,92.5
Alta,40,1,102.86
Alta,40,2,105.04
Alta,40,3,118.53
Alta,40,4,103.35
Alta,40,5,96.73
Alta,40,6,106.0
Alta,40,7,107.12
Alta,40,8,103.54
