"Temperatura","Razao_Solvente","Solvente","Rendimento_Bioativo"
44.9,26.3,"Etanol 70%",40.85
31.8,26.2,"NADES Verde",44.15
58.4,22.2,"Etanol 70%",40.96
56.3,29.9,"NADES Verde",61.02
40,26.9,"Etanol 70%",42
42,24.3,"NADES Verde",52.49
53.4,10.4,"Etanol 70%",29.6
43.3,16.1,"NADES Verde",45.56
54.9,27.7,"Etanol 70%",46.17
51.8,28.8,"NADES Verde",57.91
65.2,14.7,"Etanol 70%",44.86
58.3,28.7,"NADES Verde",66.03
59.3,21.3,"Etanol 70%",46.83
67.3,26.9,"NADES Verde",61.8
48.2,26.4,"Etanol 70%",36.62
53.6,15.6,"NADES Verde",44.61
62.8,10.9,"Etanol 70%",36.76
39,14.5,"NADES Verde",37.78
46.5,23.5,"Etanol 70%",40.56
31.5,29.2,"NADES Verde",51.21
58,23.7,"Etanol 70%",50.74
68.3,25.5,"NADES Verde",65.2
38.5,25.5,"Etanol 70%",37.09
56.4,29.7,"NADES Verde",58.6
66.9,10.2,"Etanol 70%",30.52
61.8,29.1,"NADES Verde",63.56
32.8,16.5,"Etanol 70%",29.7
45.6,18.6,"NADES Verde",52.56
46.3,12.7,"Etanol 70%",33.9
56.4,10.4,"NADES Verde",50.49
46.9,23.1,"Etanol 70%",44.53
42.8,28.3,"NADES Verde",54.5
37.9,24.3,"Etanol 70%",36.44
36.5,13.7,"NADES Verde",38.21
50.9,14.8,"Etanol 70%",35.64
66.5,26.7,"NADES Verde",58.87
38.3,17.7,"Etanol 70%",31.01
62.6,14.7,"NADES Verde",55.45
30.8,11.4,"Etanol 70%",26.64
67,11.2,"NADES Verde",46.56
47.4,12.5,"Etanol 70%",32.53
47.7,10.5,"NADES Verde",40.02
60.4,17.8,"Etanol 70%",47.85
43.3,27.2,"NADES Verde",58.02
45.8,24.4,"Etanol 70%",43.16
39.3,16.8,"NADES Verde",43.39
32.9,11.6,"Etanol 70%",26.1
66.5,10.7,"NADES Verde",41.19
60.9,25.5,"Etanol 70%",45.08
34.3,29.9,"NADES Verde",58.83
33.2,12.9,"Etanol 70%",24.95
47.4,10.8,"NADES Verde",42.07
57.2,21.3,"Etanol 70%",41.51
59.4,27.8,"NADES Verde",65.64
48.1,27.4,"Etanol 70%",46.45
61.4,29.6,"NADES Verde",59.47
57.2,27.6,"Etanol 70%",44.89
50.7,20.2,"NADES Verde",48
57.6,16.7,"Etanol 70%",36.45
53.5,22.3,"NADES Verde",57
