municipio,consumo_antibioticos_DDD_1000hab_dia,idhm,renda_per_capita_reais,populacao_urbana_pct,estabelecimentos_saude_10mil_hab,populacao_feminina_pct
Município_119,20.95,0.669,1167,69.9,3.1,48.9
Município_147,20.6,0.639,1063,67.7,2.48,48.7
Município_089,21.51,0.732,2118,59.1,3.73,51.5
Município_137,22.49,0.655,550,69.7,3.3,52.8
Município_041,22.86,0.722,639,75.2,3.38,53.9
Município_012,20.05,0.641,550,55.3,2.79,52.4
Município_080,20.77,0.67,1880,62.5,2.66,53.4
Município_111,22.83,0.754,2205,74.5,6.08,53.4
Município_018,21.63,0.676,910,67.6,4.95,54.3
Município_133,24.09,0.697,2046,78.1,4.19,56.5
Município_022,25.46,0.698,2858,94.2,5.25,53.9
Município_055,20.84,0.652,885,80.7,3.0,51.6
Município_070,19.41,0.589,608,53.1,3.98,47.9
Município_029,21.17,0.579,1281,53.5,2.71,53.8
Município_104,22.34,0.754,778,93.6,3.16,51.0
Município_020,22.39,0.791,1802,58.4,4.68,52.9
Município_150,23.23,0.731,1507,89.8,5.46,53.7
Município_079,21.58,0.673,1628,78.2,1.57,51.2
Município_084,19.09,0.64,1708,38.3,1.46,53.3
Município_051,23.36,0.704,2351,56.7,5.69,52.4
Município_109,22.88,0.673,565,89.9,4.44,50.8
Município_006,19.86,0.551,1758,35.0,1.22,50.1
Município_069,20.37,0.74,1194,76.4,4.7,48.5
Município_110,22.7,0.684,2181,49.5,5.68,50.5
Município_010,22.78,0.675,550,70.2,3.74,52.3
Município_027,19.38,0.545,550,35.0,1.48,51.2
Município_127,20.67,0.631,918,58.6,1.85,51.5
Município_082,19.54,0.691,550,73.6,2.79,48.3
Município_138,21.64,0.735,881,71.4,5.45,48.9
Município_125,22.04,0.699,1150,89.2,3.13,51.6
Município_095,21.55,0.66,550,84.6,4.46,52.6
Município_040,19.87,0.642,697,64.9,1.38,50.8
Município_088,20.14,0.635,1247,65.5,4.37,51.8
Município_113,22.32,0.624,921,71.8,3.41,52.3
Município_005,21.69,0.659,1515,90.4,3.1,46.7
Município_038,20.91,0.593,550,66.1,2.16,51.6
Município_139,23.63,0.724,1604,72.4,5.32,54.6
Município_048,20.96,0.721,2164,72.1,2.92,49.4
Município_122,24.17,0.633,2110,67.8,2.31,53.5
Município_098,20.69,0.584,2294,35.0,1.21,53.1
Município_124,21.54,0.717,943,85.2,3.08,50.5
Município_075,23.32,0.751,1936,96.6,5.69,48.0
Município_108,19.18,0.593,1454,54.3,2.14,48.6
Município_131,20.08,0.622,1027,47.0,2.26,51.2
Município_118,21.77,0.644,550,63.5,3.18,52.5
Município_085,21.77,0.576,685,64.5,4.28,53.6
Município_140,24.08,0.767,1287,89.4,4.54,53.1
Município_129,22.51,0.728,1234,64.2,2.07,53.8
Município_066,19.77,0.679,550,76.5,3.94,49.7
Município_134,20.59,0.671,916,80.7,4.94,48.5
Município_050,20.59,0.67,1658,66.2,2.37,49.6
Município_145,18.99,0.619,550,57.4,1.24,53.6
Município_077,21.56,0.628,1296,56.5,2.48,51.5
Município_003,23.99,0.796,2057,85.4,4.86,53.5
Município_106,22.33,0.626,1669,76.0,1.0,56.5
Município_054,21.0,0.705,953,57.7,3.66,49.6
Município_014,20.76,0.614,1034,68.6,4.77,52.6
Município_026,19.98,0.5,550,64.3,2.22,51.3
Município_149,24.17,0.801,2331,89.5,5.72,51.6
Município_033,24.66,0.77,1968,99.0,3.68,50.6
Município_132,21.48,0.682,2321,55.6,2.47,51.7
Município_071,22.76,0.738,2406,62.5,3.58,52.3
Município_073,21.75,0.666,1348,87.8,5.12,51.1
Município_130,22.35,0.808,2296,78.5,2.13,52.7
Município_013,22.74,0.663,1432,81.3,5.05,53.2
Município_058,21.47,0.701,2030,42.9,3.7,51.5
Município_017,21.63,0.686,1013,70.2,4.92,49.3
Município_063,21.87,0.806,585,90.9,3.19,52.5
Município_030,20.0,0.548,550,61.7,3.16,50.5
Município_101,19.53,0.619,550,67.5,1.76,53.5
Município_076,20.05,0.567,550,72.9,1.85,53.6
Município_116,21.77,0.62,2460,50.2,3.42,53.1
Município_143,21.42,0.721,781,91.2,3.13,49.9
Município_078,20.4,0.688,1338,78.6,4.19,51.5
Município_126,22.88,0.766,1240,66.2,3.51,50.1
Município_100,23.25,0.694,1317,94.0,4.59,53.2
Município_057,20.36,0.593,550,55.2,3.89,50.0
Município_123,20.33,0.633,993,59.0,3.98,50.4
Município_021,25.46,0.783,2784,94.0,5.42,52.2
Município_015,24.12,0.686,1985,91.1,3.62,52.4
Município_087,22.15,0.67,1486,66.3,3.72,49.4
Município_114,19.34,0.62,767,51.3,3.37,50.1
Município_103,23.03,0.747,1955,82.4,6.53,50.8
Município_042,23.96,0.789,1525,99.0,4.07,51.0
Município_011,23.66,0.83,2004,99.0,4.43,50.3
Município_023,23.96,0.681,2560,84.6,3.44,52.3
Município_064,19.72,0.687,1340,61.6,1.8,51.6
Município_035,20.12,0.602,577,47.9,2.23,50.5
Município_059,23.2,0.805,2335,84.8,4.63,49.0
Município_001,20.45,0.748,985,51.7,2.61,50.1
Município_135,19.22,0.615,550,53.0,1.76,53.6
Município_115,20.16,0.645,550,79.5,3.43,49.6
Município_045,19.63,0.623,550,57.4,1.3,52.5
Município_044,20.56,0.623,550,57.4,1.54,52.1
Município_141,22.87,0.671,1935,56.6,3.15,54.5
Município_136,20.34,0.701,550,75.3,2.99,50.7
Município_091,23.0,0.771,2605,68.3,3.17,52.2
Município_142,21.44,0.699,977,81.6,3.79,49.1
Município_146,22.36,0.711,1268,92.0,3.64,50.8
Município_107,23.4,0.761,1730,79.3,4.88,53.1
Município_004,19.22,0.657,1199,50.3,1.43,51.5
Município_031,19.52,0.595,550,44.1,1.0,52.1
Município_068,24.11,0.749,1657,90.4,3.95,52.9
Município_097,17.18,0.51,550,35.0,1.0,51.2
Município_128,23.74,0.789,2639,77.9,6.74,52.9
Município_117,21.12,0.602,1320,66.8,2.93,55.7
Município_019,20.49,0.637,619,69.9,3.13,54.6
Município_094,21.23,0.723,703,81.8,4.56,50.1
Município_062,20.4,0.673,667,60.9,1.3,52.8
Município_105,20.21,0.655,550,74.3,3.56,52.8
Município_065,22.65,0.681,1644,71.3,3.85,52.0
Município_090,18.93,0.518,550,35.0,1.0,53.2
Município_028,23.94,0.772,2006,78.4,4.61,54.0
Município_032,19.35,0.605,1398,55.6,2.78,51.7
Município_083,22.57,0.692,1956,72.3,5.47,49.7
Município_052,19.52,0.63,632,56.7,1.26,50.7
Município_099,18.31,0.689,855,69.3,1.06,47.7
Município_008,21.07,0.663,1652,56.3,4.02,50.3
Município_046,22.38,0.684,1309,79.6,3.13,52.1
Município_144,23.92,0.796,1697,99.0,4.83,50.9
Município_096,23.13,0.675,550,82.7,5.2,53.4
Município_016,19.8,0.658,1464,63.8,1.93,49.3
Município_086,19.94,0.697,550,53.3,1.0,50.4
Município_120,19.39,0.571,550,55.5,2.79,48.5
Município_056,19.34,0.692,550,41.2,1.0,52.6
Município_009,20.3,0.654,550,58.3,3.09,51.7
Município_061,21.69,0.75,1433,73.8,3.79,51.1
Município_093,19.36,0.551,550,48.0,3.72,48.7
Município_074,24.94,0.756,2538,92.2,4.16,52.1
Município_092,23.54,0.762,1896,63.8,4.15,52.4
Município_043,22.02,0.682,1280,71.4,4.31,50.9
Município_121,21.38,0.711,550,58.9,1.0,53.6
Município_060,21.92,0.659,1547,79.9,4.44,50.7
Município_072,20.11,0.721,1146,60.0,3.65,50.6
Município_036,21.28,0.668,606,63.6,4.24,54.0
Município_025,21.1,0.702,903,75.6,2.45,53.5
Município_039,22.18,0.757,550,90.4,7.72,52.1
Município_002,18.74,0.614,975,46.7,1.82,50.2
Município_081,22.57,0.684,1736,72.3,3.18,53.6
Município_007,20.65,0.608,1122,36.0,2.57,49.3
Município_112,21.36,0.676,1215,64.9,3.11,53.7
Município_024,19.96,0.583,848,59.3,3.48,51.4
Município_049,23.7,0.795,1458,89.9,4.18,52.9
Município_034,20.09,0.699,1678,57.7,2.51,52.7
Município_053,25.11,0.84,2179,88.7,5.3,54.4
Município_102,20.45,0.643,550,92.3,2.64,50.7
Município_067,22.54,0.746,718,86.3,3.9,53.4
Município_047,23.86,0.789,1470,94.2,5.1,50.0
Município_148,23.24,0.761,2041,62.6,2.08,51.7
Município_037,19.68,0.71,550,60.9,2.66,53.0
